X,NDX,AAPL,MSFT,NVDA,AMZN,GOOG
6/18/19,7635.399902,48.939144,133.195053,152.409821,1901.369995,1103.599976
6/19/19,7667.740234,48.796116,133.717361,152.649078,1908.790039,1102.329956
6/20/19,7738.049805,49.188217,134.959015,153.626053,1918.189941,1111.420044
6/21/19,7728.779785,49.020523,134.97876,151.293243,1911.300049,1121.880005
6/24/19,7723.02002,48.971203,135.776962,152.190475,1913.900024,1115.52002
6/25/19,7591.540039,48.22892,131.490189,151.014099,1878.27002,1086.349976
6/26/19,7627.049805,49.272068,131.982925,158.770172,1897.829956,1079.800049
6/27/19,7657.049805,49.257271,132.199722,162.727982,1904.280029,1076.01001
6/28/19,7671.080078,48.808441,132.012497,163.724884,1893.630005,1080.910034
7/1/19,7768.140137,49.703632,133.707489,165.65892,1922.189941,1097.949951
7/2/19,7799.819824,49.994621,134.594391,161.731033,1934.310059,1111.25
7/3/19,7857.689941,50.40892,135.461609,162.249451,1939,1121.579956
7/5/19,7841.299805,50.364529,135.067429,159.737213,1942.910034,1131.589966
7/8/19,7785.790039,49.326317,134.968887,156.726517,1952.319946,1116.349976
7/9/19,7826.859863,49.627182,134.476166,156.826202,1988.300049,1124.829956
7/10/19,7903.399902,50.117928,135.845963,159.567734,2017.410034,1140.47998
7/11/19,7896.779785,49.752949,136.387939,165.768585,2001.069946,1144.209961
7/12/19,7943.240234,50.135193,136.880676,167.094513,2011,1144.900024
7/15/19,7966.930176,50.606209,136.880676,166.755554,2020.98999,1150.339966
7/16/19,7927.080078,50.431118,135.087128,166.566116,2009.900024,1153.579956
7/17/19,7888.759766,50.147518,134.288925,169.188049,1992.030029,1146.349976
7/18/19,7904.129883,50.717182,134.436737,169.656601,1977.900024,1146.329956
7/19/19,7834.899902,49.960094,134.63382,167.921951,1964.52002,1130.099976
7/22/19,7905.120117,51.101891,136.417511,170.793091,1985.630005,1138.069946
7/23/19,7954.560059,51.501389,137.264999,175.119736,1994.48999,1146.209961
7/24/19,8010.609863,51.459473,138.674225,178.110519,2000.810059,1137.810059
7/25/19,7929.870117,51.05257,138.151932,172.846756,1973.819946,1132.119995
7/26/19,8016.950195,51.230125,139.285202,174.53157,1943.050049,1250.410034
7/29/19,7989.080078,51.708538,138.979721,174.282349,1912.449951,1239.410034
7/30/19,7952.470215,51.486591,138.309601,174.910385,1898.530029,1225.140015
7/31/19,7848.779785,52.53714,134.288925,168.201065,1866.780029,1216.680054
8/1/19,7801.149902,51.40028,136.052872,164.412781,1855.319946,1209.01001
8/2/19,7692.799805,50.312748,134.909729,160.69426,1823.23999,1193.98999
8/5/19,7415.689941,47.678982,130.287949,150.326218,1765.130005,1152.319946
8/6/19,7521.319824,48.581562,132.731888,151.881454,1787.829956,1169.949951
8/7/19,7551.899902,49.084641,133.313278,153.416702,1793.400024,1173.98999
8/8/19,7724.830078,50.167248,136.870834,157.773239,1832.890015,1204.800049
8/9/19,7646.27002,49.753849,135.707993,153.705795,1807.579956,1188.01001
8/12/19,7561.680176,49.627602,133.815887,150.984207,1784.920044,1174.709961
8/13/19,7728.149902,51.729252,136.585052,155.570053,1824.339966,1197.27002
8/14/19,7490.129883,50.189526,132.471863,149.608459,1762.959961,1164.290039
8/15/19,7484.890137,49.939507,132.175247,148.312439,1776.119995,1167.26001
8/16/19,7604.109863,51.117813,134.597687,159.069275,1792.569946,1177.599976
8/19/19,7719.319824,52.070862,136.85202,170.254745,1816.119995,1198.449951
8/20/19,7664.470215,52.073338,135.714951,167.353683,1801.380005,1182.689941
8/21/19,7733.220215,52.637737,137.227707,170.703369,1823.540039,1191.25
8/22/19,7707.430176,52.593182,136.22908,170.952591,1804.660034,1189.530029
8/23/19,7464.990234,50.1623,131.888504,161.940414,1749.619995,1151.290039
8/26/19,7575.02002,51.115337,133.925323,164.941132,1768.869995,1168.890015
8/27/19,7566.029785,50.538563,134.212051,161.302383,1761.829956,1167.839966
8/28/19,7587.899902,50.877701,134.034073,160.883255,1764.25,1171.02002
8/29/19,7702.310059,51.739151,136.565262,166.651184,1786.400024,1192.849976
8/30/19,7691,51.672314,136.308212,167.16011,1776.290039,1188.099976
9/3/19,7609.509766,50.919777,134.508682,163.827072,1789.839966,1168.390015
9/4/19,7719.25,51.783714,136.080795,168.407486,1800.619995,1181.410034
9/5/19,7862.540039,52.796162,138.473541,179.364578,1840.719971,1211.380005
9/6/19,7852.540039,52.79121,137.534241,178.27684,1833.51001,1204.930054
9/9/19,7832.399902,53.016479,135.972031,180.122986,1831.349976,1204.410034
9/10/19,7814.740234,53.642761,134.548248,182.797379,1820.550049,1206
9/11/19,7887.580078,55.348343,134.587753,183.944992,1822.98999,1220.170044
9/12/19,7917.339844,55.224567,135.972031,183.885117,1843.550049,1234.25
9/13/19,7892.950195,54.15023,135.774261,181.559982,1839.339966,1239.560059
9/16/19,7852.410156,54.434902,134.795425,179.833588,1807.839966,1231.300049
9/17/19,7888.790039,54.632942,135.843506,180.691803,1822.550049,1229.150024
9/18/19,7888.560059,55.145359,136.96077,179.60405,1817.459961,1232.410034
9/19/19,7901.790039,54.697304,139.482071,176.570404,1821.5,1238.709961
9/20/19,7823.549805,53.897728,137.870407,172.329315,1794.160034,1229.930054
9/23/19,7818.609863,54.142803,137.573776,174.474808,1785.300049,1234.030029
9/24/19,7710.040039,53.885353,135.833603,172.169632,1741.609985,1218.76001
9/25/19,7803.540039,54.714626,137.791306,177.857727,1768.329956,1246.52002
9/26/19,7771.990234,54.43243,137.969284,176.969574,1739.839966,1241.390015
9/27/19,7681.580078,54.167561,136.179642,171.401245,1725.449951,1225.089966
9/30/19,7749.450195,55.442406,137.465027,173.706421,1735.910034,1219
10/1/19,7684.140137,55.595886,135.5271,173.636551,1735.650024,1205.099976
10/2/19,7550.790039,54.202213,133.134323,172.678558,1713.22998,1176.630005
10/3/19,7638.390137,54.662643,134.745972,180.93129,1724.420044,1187.829956
10/4/19,7754.100098,56.194942,136.565262,181.58992,1739.650024,1209
10/7/19,7725.129883,56.207317,135.576523,183.944992,1732.660034,1207.680054
10/8/19,7604.27002,55.548851,134.142853,176.859802,1705.51001,1189.130005
10/9/19,7690.529785,56.199894,136.683914,180.33255,1721.98999,1202.310059
10/10/19,7740.359863,56.957375,137.534241,182.64769,1720.26001,1208.670044
10/11/19,7843.879883,58.472343,138.107697,185.601517,1731.920044,1215.449951
10/14/19,7842.330078,58.38818,137.979172,186.140381,1736.430054,1217.140015
10/15/19,7942.850098,58.252033,139.97644,195.959824,1767.380005,1243.01001
10/16/19,7920.209961,58.016861,138.829483,193.804367,1777.430054,1243.640015
10/17/19,7942.140137,58.24213,138.117584,193.884155,1787.47998,1253.069946
10/18/19,7868.490234,58.521858,135.863251,190.092117,1757.51001,1245.48999
10/21/19,7940.330078,59.536781,136.871765,195.600586,1785.660034,1246.150024
10/22/19,7874.620117,59.400635,134.834961,195.201431,1765.72998,1242.800049
10/23/19,7889.470215,60.197727,135.69519,194.682495,1762.170044,1259.130005
10/24/19,7966.720215,60.296741,138.364792,196.448822,1780.780029,1260.98999
10/25/19,8029.220215,61.039375,139.145874,204.112762,1761.329956,1265.130005
10/28/19,8110.669922,61.65081,142.56694,206.358063,1777.079956,1290
10/29/19,8047.509766,60.224953,141.222244,202.496155,1762.709961,1262.619995
10/30/19,8083.109863,60.217525,142.982224,202.575989,1779.98999,1261.290039
10/31/19,8083.830078,61.579021,141.756165,200.600128,1776.660034,1260.109985
11/1/19,8161.169922,63.326683,142.102234,202.166855,1791.439941,1273.73999
11/4/19,8210.660156,63.742554,142.922897,210.060318,1804.660034,1291.369995
11/5/19,8210.179688,63.65097,142.833923,209.17218,1801.709961,1292.030029
11/6/19,8196.030273,63.678192,142.4384,207.196304,1795.77002,1291.800049
11/7/19,8219.650391,64.413116,142.636139,207.904831,1788.199951,1308.859985
11/8/19,8255.889648,64.589409,144.317017,207.345993,1785.880005,1311.369995
11/11/19,8241.910156,65.100876,144.465332,207.745163,1771.650024,1299.189941
11/12/19,8263.790039,65.041283,145.41452,209.17218,1778,1298.800049
11/13/19,8259.80957,65.66449,145.651825,208.134369,1753.109985,1298
11/14/19,8257.830078,65.210121,146.393372,209.351807,1754.599976,1311.459961
11/15/19,8315.519531,65.984779,148.281891,203.763504,1739.48999,1334.869995
11/18/19,8328.480469,66.31749,148.64772,211.836594,1752.530029,1320.699951
11/19/19,8338.740234,66.116371,148.697144,207.555557,1752.790039,1315.459961
11/20/19,8283.75,65.346687,148.439194,210.738892,1745.530029,1303.050049
11/21/19,8265.620117,65.053703,148.300293,209.740982,1734.709961,1301.349976
11/22/19,8272.049805,64.996597,148.409439,210.449509,1745.719971,1295.339966
11/25/19,8371.929688,66.13623,150.036499,220.747955,1773.839966,1306.689941
11/26/19,8385.75,65.619789,150.830185,216.546738,1796.939941,1313.550049
